,1. open,2. high,3. low,4. close,5. volume,day,day_of_month,month
2019-07-25,0.71,0.71,0.71,0.71,0,4,25,7
2019-07-24,0.71,0.71,0.71,0.71,0,3,24,7
2019-07-23,0.71,0.71,0.71,0.71,0,2,23,7
2019-07-22,0.71,0.71,0.71,0.71,0,1,22,7
2019-07-19,0.71,0.71,0.71,0.71,0,5,19,7
2019-07-18,0.71,0.71,0.71,0.71,0,4,18,7
2019-07-17,0.71,0.71,0.71,0.71,0,3,17,7
2019-07-16,0.71,0.71,0.71,0.71,0,2,16,7
2019-07-15,0.71,0.71,0.71,0.71,0,1,15,7
2019-07-12,0.71,0.71,0.71,0.71,0,5,12,7
2019-07-11,0.71,0.71,0.71,0.71,0,4,11,7
2019-07-10,0.71,0.71,0.71,0.71,0,3,10,7
2019-07-09,0.71,0.71,0.71,0.71,0,2,9,7
2019-07-08,0.71,0.71,0.71,0.71,0,1,8,7
2019-07-05,0.71,0.71,0.71,0.71,0,5,5,7
2019-07-03,0.71,0.71,0.71,0.71,0,3,3,7
2019-07-02,0.71,0.71,0.71,0.71,0,2,2,7
2019-07-01,0.71,0.71,0.71,0.71,20000,1,1,7
2019-06-28,0.7,0.7,0.7,0.7,0,5,28,6
2019-06-27,0.698,0.698,0.698,0.698,4000,4,27,6
2019-06-26,0.68,0.68,0.68,0.68,0,3,26,6
2019-06-25,0.68,0.68,0.68,0.68,0,2,25,6
2019-06-24,0.68,0.68,0.68,0.68,0,1,24,6
2019-06-21,0.68,0.68,0.68,0.68,0,5,21,6
2019-06-18,0.68,0.68,0.68,0.68,0,2,18,6
2019-06-17,0.68,0.68,0.68,0.68,0,1,17,6
2019-06-14,0.68,0.68,0.68,0.68,0,5,14,6
2019-06-13,0.68,0.68,0.68,0.68,0,4,13,6
